Rank,Title,Number of Ratings,Year of Release,Runtime,Decade,IMDb Rating,MPAA Rating,Runtime in Minutes
1,The Shawshank Redemption,3.1M,1994,2h 22m,1990s,9.3,R,142
2,The Godfather,2.2M,1972,2h 55m,1970s,9.2,R,175
4,The Godfather Part II,1.4M,1974,3h 22m,1970s,9,R,202
7,Schindler's List,1.5M,1993,3h 15m,1990s,9,R,195
8,Pulp Fiction,2.4M,1994,2h 34m,1990s,8.8,R,154
10,"The Good, the Bad and the Ugly",866K,1966,2h 58m,1960s,8.8,R,178
13,Fight Club,2.5M,1999,2h 19m,1990s,8.8,R,139
16,The Matrix,2.2M,1999,2h 16m,1990s,8.7,R,136
17,Goodfellas,1.3M,1990,2h 25m,1990s,8.7,R,145
19,One Flew Over the Cuckoo's Nest,1.1M,1975,2h 13m,1970s,8.7,R,133
20,Se7en,1.9M,1995,2h 7m,1990s,8.6,R,127
22,The Silence of the Lambs,1.7M,1991,1h 58m,1990s,8.6,R,118
24,Saving Private Ryan,1.6M,1998,2h 49m,1990s,8.6,R,169
25,The Green Mile,1.5M,1999,3h 9m,1990s,8.6,R,189
26,City of God,847K,2002,2h 10m,2000s,8.6,R,130
28,Terminator 2: Judgment Day,1.2M,1991,2h 17m,1990s,8.6,R,137
32,The Pianist,980K,2002,2h 30m,2000s,8.5,R,150
33,Gladiator,1.8M,2000,2h 35m,2000s,8.5,R,155
34,Parasite,1.1M,2019,2h 12m,2010s,8.5,R,132
35,Psycho,761K,1960,1h 49m,1960s,8.5,R,109
38,The Departed,1.5M,2006,2h 31m,2000s,8.5,R,151
39,Whiplash,1.1M,2014,1h 46m,2010s,8.5,R,106
42,American History X,1.2M,1998,1h 59m,1990s,8.5,R,119
43,Léon: The Professional,1.3M,1994,1h 50m,1990s,8.5,R,110
47,The Usual Suspects,1.2M,1995,1h 46m,1990s,8.5,R,106
48,The Intouchables,991K,2011,1h 52m,2010s,8.5,R,112
49,Alien,1M,1979,1h 57m,1970s,8.5,R,117
52,Django Unchained,1.8M,2012,2h 45m,2010s,8.5,R,165
55,Apocalypse Now,750K,1979,2h 27m,1970s,8.4,R,147
57,Memento,1.4M,2000,1h 53m,2000s,8.4,R,113
61,The Lives of Others,432K,2006,2h 17m,2000s,8.4,R,137
66,The Shining,1.2M,1980,2h 26m,1980s,8.4,R,146
68,Inglourious Basterds,1.7M,2009,2h 33m,2000s,8.4,R,153
70,Aliens,817K,1986,2h 17m,1980s,8.4,R,137
76,Good Will Hunting,1.2M,1997,2h 6m,1990s,8.3,R,126
79,Oldboy,690K,2003,2h,2000s,8.3,R,120
81,Braveheart,1.1M,1995,2h 58m,1990s,8.3,R,178
84,American Beauty,1.3M,1999,2h 2m,1990s,8.3,R,122
86,Joker,1.6M,2019,2h 2m,2010s,8.3,R,122
